State,Electoral Votes,Republican Votes,Republican Percent,Republican Electoral Votes,Democrat Votes,Democrat Percent,Democrat Electoral Votes,Independent Votes,Independent Percent,Independent Electoral Votes,Libertarian Votes,Libertarian Percent,Libertarian Electoral Votes,Margin,Margin %,State Total,State Code
Alabama,9,"728,701",72.43,9,"256,923",25.54,,"11,918",1.18,,,,,"471,778",46.89,"1,006,093",AL
Alaska,3,"55,349",58.13,3,"32,967",34.62,,"6,903",7.25,,,,,"22,382",23.51,"95,219",AK
Arizona,6,"402,812",61.64,6,"198,540",30.38,,"21,208",3.25,,,,,"204,272",31.26,"653,505",AZ
Arkansas,6,"445,751",68.82,6,"198,899",30.71,,"3,016",0.47,,,,,"246,852",38.11,"647,666",AR
California,45,"4,602,096",55,45,"3,475,847",41.54,,"232,554",2.78,,980,0.01,,"1,126,249",13.46,"8,367,862",CA
Colorado,7,"597,189",62.61,7,"329,980",34.59,,"17,269",1.81,,"1,111",0.12,,"267,209",28.01,"953,884",CO
Connecticut,8,"810,763",58.57,8,"555,498",40.13,,"17,239",1.25,,,,,"255,265",18.44,"1,384,277",CT
Delaware,3,"140,357",59.6,3,"92,283",39.18,,"2,638",1.12,,,,,"48,074",20.41,"235,516",DE
D.C.,3,"35,226",21.56,,"127,627",78.1,3,,,,,,,"?92,401",?56.54,"163,421",DC
Florida,17,"1,857,759",71.91,17,"718,117",27.8,,,,,,,,"1,139,642",44.12,"2,583,283",FL
Georgia,12,"881,496",75.04,12,"289,529",24.65,,812,0.07,,,,,"591,967",50.39,"1,174,772",GA
Hawaii,4,"168,865",62.48,4,"101,409",37.52,,,,,,,,"67,456",24.96,"270,274",HI
Idaho,4,"199,384",64.24,4,"80,826",26.04,,"28,869",9.3,,,,,"118,558",38.2,"310,379",ID
Illinois,26,"2,788,179",59.03,26,"1,913,472",40.51,,"2,471",0.05,,,,,"874,707",18.52,"4,723,236",IL
Indiana,13,"1,405,154",66.11,13,"708,568",33.34,,,,,,,,"696,586",32.77,"2,125,529",IN
Iowa,8,"706,207",57.61,8,"496,206",40.48,,"22,056",1.8,,,,,"210,001",17.13,"1,225,944",IA
Kansas,7,"619,812",67.66,7,"270,287",29.5,,"21,808",2.38,,,,,"349,525",38.15,"916,095",KS
Kentucky,9,"676,446",63.37,9,"371,159",34.77,,"17,627",1.65,,,,,"305,287",28.6,"1,067,499",KY
